firm,cik,phone,leads,title,money_raised
"Apptronik, Inc",0001918029,9702700074,"[{'name': 'Jeffery Cardenas', 'role': 'Executive Officer', 'cik': '0001918029'}, {'name': 'Nicholas Paine', 'role': 'Executive Officer', 'cik': '0001918029'}, {'name': 'Clarence Daugherty, IV', 'role': 'Director', 'cik': '0001918029'}, {'name': 'Howard Morgan', 'role': 'Director', 'cik': '0001918029'}]",Director,331397787
TechTown Industrial L1 LLC,0001924612,512-484-8152,"[{'name': 'Senthil Rangaswamy', 'role': 'Executive Officer', 'cik': '0001924612'}]",Executive Officer,2050000
"Piraeus Medical, Inc.",0001933134,218-340-7338,"[{'name': 'Jared Hutar', 'role': 'Executive Officer', 'cik': '0001933134'}, {'name': 'Kevin Kallmes', 'role': 'Director', 'cik': '0001933134'}, {'name': 'Keith Kallmes', 'role': 'Director', 'cik': '0001933134'}, {'name': 'Martin Akhavan', 'role': 'Director', 'cik': '0001933134'}, {'name': 'Ryan Egeland', 'role': 'Director', 'cik': '0001933134'}]",Director,662600
"Channel99, Inc.",0001936958,4153361935,"[{'name': 'Christopher Golec', 'role': 'Executive Officer', 'cik': '0001936958'}, {'name': 'Robert Spinner', 'role': 'Director', 'cik': '0001936958'}]",Director,1562862
Scout Discoveries Corp.,0001974508,360-631-0608,"[{'name': 'Curtis Johnson', 'role': 'Executive Officer', 'cik': '0001974508'}, {'name': 'Colin Livingston', 'role': 'Executive Officer', 'cik': '0001974508'}, {'name': 'Chad Peters', 'role': 'Director', 'cik': '0001974508'}, {'name': 'Neil Adshead', 'role': 'Director', 'cik': '0001974508'}, {'name': 'Liz Monger', 'role': 'Director', 'cik': '0001974508'}]",Director,428000
"La La Land Kind Cafe, LLC",0001981765,214-702-1247,"[{'name': 'Francois Reihani', 'role': 'Executive Officer', 'cik': '0001981765'}, {'name': 'Joel Alsfine', 'role': 'Executive Officer', 'cik': '0001981765'}, {'name': 'Dario Ferdows', 'role': 'Director', 'cik': '0001981765'}, {'name': 'Parham Javaheri', 'role': 'Director', 'cik': '0001981765'}, {'name': 'James Sincavage', 'role': 'Director', 'cik': '0001981765'}, {'name': 'Travis Wolf', 'role': 'Executive Officer', 'cik': '0001981765'}, {'name': 'Elizabeth Baxter', 'role': 'Executive Officer', 'cik': '0001981765'}, {'name': 'Fallon Smith', 'role': 'Executive Officer', 'cik': '0001981765'}]",Executive Officer,42299927
Solomon Hess IO Opportunities Fund II LLC,0001988467,703-356-3333,"[{'name': 'n/a Solomon Hess LLC', 'role': 'Executive Officer', 'cik': '0001988467'}, {'name': 'n/a Solomon Hess SBA Management LLC', 'role': 'Promoter', 'cik': '0001988467'}, {'name': 'William Einstein', 'role': 'Executive Officer', 'cik': '0001988467'}, {'name': 'Michael Fallon', 'role': 'Executive Officer', 'cik': '0001988467'}]",Executive Officer,25000000
"CLEVER CARNIVORE, INC.",0001989242,4123276071,"[{'name': 'VIRGINIA RANGOS', 'role': 'Executive Officer', 'cik': '0001989242'}, {'name': 'PAUL BURRIDGE', 'role': 'Executive Officer', 'cik': '0001989242'}, {'name': 'NICHOLAS RANGOS', 'role': 'Executive Officer', 'cik': '0001989242'}, {'name': 'RUSSELL THOMAS', 'role': 'Executive Officer', 'cik': '0001989242'}, {'name': 'STEPHANIE HARRISON', 'role': 'Executive Officer', 'cik': '0001989242'}, {'name': 'JAMES CAFFYN', 'role': 'Director', 'cik': '0001989242'}]",Director,2402121
"Lucendi, Inc.",0001992349,(310) 903-6225,"[{'name': 'Aydogan Ozcan', 'role': 'Director', 'cik': '0001992349'}, {'name': 'Maxim Batalin', 'role': 'Executive Officer', 'cik': '0001992349'}, {'name': 'Gilbert Hakim', 'role': 'Director', 'cik': '0001992349'}]",Director,1000000
Energea Portfolio 5 LATAM LP,0001993443,18603167466,"[{'name': 'Michael Silvestrini', 'role': 'Executive Officer', 'cik': '0001993443'}, {'name': 'Christopher Sattler', 'role': 'Executive Officer', 'cik': '0001993443'}]",Executive Officer,0
"Brooklyn Dumpling Parent Holdings, Inc.",0002003006,201-739-5377,"[{'name': 'Jeff Galletly', 'role': 'Executive Officer', 'cik': '0002003006'}, {'name': 'Igor Kostioutchenko', 'role': 'Executive Officer', 'cik': '0002003006'}, {'name': 'Pat Carey', 'role': 'Director', 'cik': '0002003006'}, {'name': 'Tim Driscoll', 'role': 'Director', 'cik': '0002003006'}, {'name': 'Daniel Nauth', 'role': 'Director', 'cik': '0002003006'}, {'name': 'Claudia Lezcano', 'role': 'Director', 'cik': '0002003006'}, {'name': 'Rose Registre', 'role': 'Director', 'cik': '0002003006'}, {'name': 'Ashley Davis', 'role': 'Director', 'cik': '0002003006'}]",Director,166667
Private Money Funding LLC,0002003198,480-319-9800,"[{'name': 'RYAN HERMANSKY', 'role': 'Executive Officer', 'cik': '0002003198'}, {'name': 'DOUGLAS DALY', 'role': 'Executive Officer', 'cik': '0002003198'}, {'name': 'TIMOTHY ERNST', 'role': 'Executive Officer', 'cik': '0002003198'}, {'name': 'BRANDON HERMANSKY', 'role': 'Executive Officer', 'cik': '0002003198'}]",Executive Officer,0
"Blue Mahoe Capital, Inc.",0002022596,844-342-6631,"[{'name': 'David Mullings', 'role': 'Executive Officer', 'cik': '0002022596'}]",Executive Officer,200000
LGP Executive Associates I-PT LLC,0002023749,(310) 954-0444,"[{'name': 'John Danhakl', 'role': 'Executive Officer', 'cik': '0002023749'}, {'name': 'Jonathan Sokoloff', 'role': 'Executive Officer', 'cik': '0002023749'}, {'name': 'Cody Franklin', 'role': 'Executive Officer', 'cik': '0002023749'}, {'name': 'Andrew Goldberg', 'role': 'Executive Officer', 'cik': '0002023749'}, {'name': 'N/A Leonard Green & Partners, L.P.', 'role': 'Promoter', 'cik': '0002023749'}]",Promoter,0
Eagle Point Trinity Senior Secured Lending Co,0002027033,203-340-8500,"[{'name': 'Thomas Majewski', 'role': 'Executive Officer', 'cik': '0002027033'}, {'name': 'Kyle Brown', 'role': 'Executive Officer', 'cik': '0002027033'}, {'name': 'Michael Testa', 'role': 'Executive Officer', 'cik': '0002027033'}, {'name': 'Kenneth Onorio', 'role': 'Executive Officer', 'cik': '0002027033'}, {'name': 'Courtney Fandrick', 'role': 'Executive Officer', 'cik': '0002027033'}, {'name': 'Joshua Katz', 'role': 'Executive Officer', 'cik': '0002027033'}, {'name': 'Gerald Harder', 'role': 'Executive Officer', 'cik': '0002027033'}, {'name': 'Ron Kundich', 'role': 'Executive Officer', 'cik': '0002027033'}, {'name': 'Sarah Stanton', 'role': 'Executive Officer', 'cik': '0002027033'}, {'name': 'Scott Appleby', 'role': 'Director', 'cik': '0002027033'}, {'name': 'Lockwood Holmes', 'role': 'Director', 'cik': '0002027033'}, {'name': 'Bryan Pereboom', 'role': 'Director', 'cik': '0002027033'}, {'name': 'Paul Tramontano', 'role': 'Director', 'cik': '0002027033'}]",Director,25000
"O2 Window Holdings, LLC",0002033955,305-608-9595,"[{'name': 'Andrew Faubel', 'role': 'Executive Officer', 'cik': '0002033955'}]",Executive Officer,4250000
Pangaea Ventures Opportunity Fund LP,0002060787,480-881-4602,"[{'name': 'n/a Pangaea Ventures Opportunity Fund GP, LP', 'role': 'Promoter', 'cik': '0002060787'}, {'name': 'n/a Pangaea Ventures Opportunity GP Holdings, LLC', 'role': 'Director', 'cik': '0002060787'}, {'name': 'Christian Erickson', 'role': 'Director', 'cik': '0002060787'}, {'name': 'Andrew Haughian', 'role': 'Director', 'cik': '0002060787'}, {'name': 'Sarah Applebaum', 'role': 'Director', 'cik': '0002060787'}, {'name': 'Janelle Goulard', 'role': 'Director', 'cik': '0002060787'}]",Director,0
"QD-0317 Fund I, a series of Reinforced Ventures, LP",0002062330,(360) 340-9337,"[{'name': 'N/A Fund GP, LLC', 'role': 'Director', 'cik': '0002062330'}, {'name': 'N/A Belltower Fund Group, Ltd.', 'role': 'Director', 'cik': '0002062330'}]",Director,50035
"Thayer Ventures V, L.P.",0002071355,203-984-3661,"[{'name': 'N/A Thayer Ventures GP V, L.L.C.', 'role': 'Director', 'cik': '0002071355'}, {'name': 'Zachary Carrico', 'role': 'Director', 'cik': '0002071355'}, {'name': 'Christopher Hemmeter', 'role': 'Director', 'cik': '0002071355'}, {'name': 'Michael Scott', 'role': 'Director', 'cik': '0002071355'}]",Director,0
Ready Responders Parent Corp.,0002071653,8666037803,"[{'name': 'Philip Dore', 'role': 'Executive Officer', 'cik': '0002071653'}, {'name': 'Moses Adubi', 'role': 'Director', 'cik': '0002071653'}, {'name': 'Juan Vallarino', 'role': 'Executive Officer', 'cik': '0002071653'}, {'name': 'Thomas Gallucci', 'role': 'Executive Officer', 'cik': '0002071653'}, {'name': ""Molly O'Neill"", 'role': 'Director', 'cik': '0002071653'}, {'name': 'Maria Toler', 'role': 'Director', 'cik': '0002071653'}]",Director,5000000
"FJ Labs Entrepreneurs Fund 2025, a series of FJ Labs Funds, LP",0002077204,(360) 340-9337,"[{'name': 'N/A Fund GP, LLC', 'role': 'Director', 'cik': '0002077204'}, {'name': 'N/A Belltower Fund Group, Ltd.', 'role': 'Director', 'cik': '0002077204'}]",Director,1862774
Adams Street GSF 8 Select Fund LP,0002078503,312-553-7890,"[{'name': 'N/A ASP Carry Partners A2 LP', 'role': 'Director', 'cik': '0002078503'}, {'name': 'N/A Adams Street Partners, LLC', 'role': 'Director', 'cik': '0002078503'}, {'name': 'Jeffrey Akers', 'role': 'Executive Officer', 'cik': '0002078503'}, {'name': 'David Brett', 'role': 'Executive Officer', 'cik': '0002078503'}, {'name': 'Sara Dasse', 'role': 'Executive Officer', 'cik': '0002078503'}, {'name': 'Jeffrey Diehl', 'role': 'Executive Officer', 'cik': '0002078503'}, {'name': 'Miguel Gonzalo', 'role': 'Executive Officer', 'cik': '0002078503'}, {'name': 'Brijesh Jeevarathnam', 'role': 'Executive Officer', 'cik': '0002078503'}, {'name': 'Michael Kurlander', 'role': 'Executive Officer', 'cik': '0002078503'}, {'name': 'Eric Mansell', 'role': 'Executive Officer', 'cik': '0002078503'}, {'name': 'Steven Montag', 'role': 'Executive Officer', 'cik': '0002078503'}, {'name': 'Robin Murray', 'role': 'Executive Officer', 'cik': '0002078503'}, {'name': ""Kevin O'Donnell"", 'role': 'Executive Officer', 'cik': '0002078503'}, {'name': 'Alicia Pando', 'role': 'Executive Officer', 'cik': '0002078503'}, {'name': 'William Sacher', 'role': 'Executive Officer', 'cik': '0002078503'}, {'name': 'James Walker', 'role': 'Executive Officer', 'cik': '0002078503'}]",Executive Officer,0
ASP (Feeder) GSF 8 Select Fund LP,0002078507,312-553-7890,"[{'name': 'N/A ASP PE Management LLC', 'role': 'Director', 'cik': '0002078507'}, {'name': 'N/A Adams Street Partners, LLC', 'role': 'Director', 'cik': '0002078507'}, {'name': 'Jeffrey Akers', 'role': 'Executive Officer', 'cik': '0002078507'}, {'name': 'David Brett', 'role': 'Executive Officer', 'cik': '0002078507'}, {'name': 'Sara Dasse', 'role': 'Executive Officer', 'cik': '0002078507'}, {'name': 'Jeffrey Diehl', 'role': 'Executive Officer', 'cik': '0002078507'}, {'name': 'Miguel Gonzalo', 'role': 'Executive Officer', 'cik': '0002078507'}, {'name': 'Brijesh Jeevarathnam', 'role': 'Executive Officer', 'cik': '0002078507'}, {'name': 'Michael Kurlander', 'role': 'Executive Officer', 'cik': '0002078507'}, {'name': 'Eric Mansell', 'role': 'Executive Officer', 'cik': '0002078507'}, {'name': 'Steven Montag', 'role': 'Executive Officer', 'cik': '0002078507'}, {'name': 'Robin Murray', 'role': 'Executive Officer', 'cik': '0002078507'}, {'name': ""Kevin O'Donnell"", 'role': 'Executive Officer', 'cik': '0002078507'}, {'name': 'Alicia Pando', 'role': 'Executive Officer', 'cik': '0002078507'}, {'name': 'William Sacher', 'role': 'Executive Officer', 'cik': '0002078507'}, {'name': 'James Walker', 'role': 'Executive Officer', 'cik': '0002078507'}]",Executive Officer,0
"TGOF Offshore EUR X, LP",0002078974,345-949-8066,"[{'name': 'N/A PGOF Management II LLC', 'role': 'Executive Officer', 'cik': '0002078974'}, {'name': 'James Reinhardt', 'role': 'Executive Officer', 'cik': '0002078974'}, {'name': 'Douglas Le Bon', 'role': 'Executive Officer', 'cik': '0002078974'}, {'name': 'Karen Jakobi', 'role': 'Executive Officer', 'cik': '0002078974'}]",Executive Officer,1
JP Solidarity Impact Fund LLC,0002081352,415-417-3000,"[{'name': 'n/a Jordan Park Group LLC', 'role': 'Promoter', 'cik': '0002081352'}, {'name': 'Frank Ghali', 'role': 'Executive Officer', 'cik': '0002081352'}, {'name': 'Matthew Edmonds', 'role': 'Executive Officer', 'cik': '0002081352'}, {'name': ""Erika O'Connor"", 'role': 'Executive Officer', 'cik': '0002081352'}, {'name': 'Davie Baccei', 'role': 'Executive Officer', 'cik': '0002081352'}, {'name': 'Scott Kislin', 'role': 'Executive Officer', 'cik': '0002081352'}]",Executive Officer,70910000
JP Solidarity Impact Fund (Cayman) LP,0002081371,345-949-0100,"[{'name': 'n/a JP Solidarity Impact GP LLC', 'role': 'Promoter', 'cik': '0002081371'}, {'name': 'n/a Jordan Park Group LLC', 'role': 'Executive Officer', 'cik': '0002081371'}, {'name': 'Frank Ghali', 'role': 'Executive Officer', 'cik': '0002081371'}, {'name': 'Matthew Edmonds', 'role': 'Executive Officer', 'cik': '0002081371'}, {'name': ""Erika O'Connor"", 'role': 'Executive Officer', 'cik': '0002081371'}, {'name': 'Davie Baccei', 'role': 'Executive Officer', 'cik': '0002081371'}, {'name': 'Scott Kislin', 'role': 'Executive Officer', 'cik': '0002081371'}]",Executive Officer,6500000
"AC-0624 Fund I, a series of Roll Up Vehicles, LP",0002083313,206.801.6359,"[{'name': 'N/A Fund GP, LLC', 'role': 'Director', 'cik': '0002083313'}, {'name': 'N/A Belltower Fund Group, Ltd.', 'role': 'Director', 'cik': '0002083313'}]",Director,183000
"Zion-IN-0613 Fund I, a series of AngelList Funds 2025, LP",0002084054,2068016359,"[{'name': 'N/A Fund GP, LLC', 'role': 'Director', 'cik': '0002084054'}, {'name': 'N/A Belltower Fund Group, Ltd.', 'role': 'Director', 'cik': '0002084054'}]",Director,200000
"TMAM/Pathway Global Opportunities EUR Fund X, LP",0002084236,949-622-1000,"[{'name': 'N/A PGOF Management II LLC', 'role': 'Executive Officer', 'cik': '0002084236'}, {'name': 'James Reinhardt', 'role': 'Executive Officer', 'cik': '0002084236'}, {'name': 'Douglas Le Bon', 'role': 'Executive Officer', 'cik': '0002084236'}, {'name': 'Karen Jakobi', 'role': 'Executive Officer', 'cik': '0002084236'}]",Executive Officer,1
"MA-0721 Fund II, a series of MV Funds, LP",0002084474,(360) 340-9337,"[{'name': 'N/A Fund GP, LLC', 'role': 'Director', 'cik': '0002084474'}, {'name': 'N/A Belltower Fund Group, Ltd.', 'role': 'Director', 'cik': '0002084474'}]",Director,46095
Allied Critical Metals Inc.,0002085138,604-720-2703,"[{'name': 'Roy Bonnell', 'role': 'Executive Officer', 'cik': '0002085138'}, {'name': 'Joao Barros', 'role': 'Executive Officer', 'cik': '0002085138'}, {'name': 'Andrew Lee', 'role': 'Director', 'cik': '0002085138'}, {'name': ""Sean O'Neill"", 'role': 'Director', 'cik': '0002085138'}, {'name': 'Vitor Arezes', 'role': 'Executive Officer', 'cik': '0002085138'}, {'name': 'Sean Choi', 'role': 'Executive Officer', 'cik': '0002085138'}, {'name': 'Colin Padget', 'role': 'Director', 'cik': '0002085138'}, {'name': 'Michael Galego', 'role': 'Director', 'cik': '0002085138'}]",Director,213960
AI-F Co-Investment Limited Partnership,0002085721,617-951-9400,"[{'name': 'N/A AI-F Co-Investment GP, LLC', 'role': 'Promoter', 'cik': '0002085721'}, {'name': 'Neil Crawford', 'role': 'Executive Officer', 'cik': '0002085721'}]",Executive Officer,0
Thirdbase Opportunity LP - Series CB,0002085959,7169810061,"[{'name': 'n/a Thirdbase Capital GP, LLC', 'role': 'Promoter', 'cik': '0002085959'}, {'name': 'Abhinav Gupta', 'role': 'Executive Officer', 'cik': '0002085959'}]",Executive Officer,900000
"LIQ5 SPV, a series of Riverside Ventures Self-Advised, LP",0002086113,(360) 340-9337,"[{'name': 'N/A Riverside Ventures Partnership, LLC', 'role': 'Director', 'cik': '0002086113'}, {'name': 'Alexander Pattis', 'role': 'Executive Officer', 'cik': '0002086113'}]",Executive Officer,389044
S2 Contra Fund LLC,0002087068,7023642323,"[{'name': 'Joel Sangerman', 'role': 'Executive Officer', 'cik': '0002087068'}]",Executive Officer,0
"ATHOS OPPORTUNITY FUND OAI, LLC",0002087838,435-252-1099,"[{'name': 'ROBERT SHATTUCK', 'role': 'Executive Officer', 'cik': '0002087838'}, {'name': '- ATHOS Fund Management, LLC', 'role': 'Executive Officer', 'cik': '0002087838'}]",Executive Officer,1435000
"RE-0914 Fund I, a series of Roll Up Vehicles, LP",0002088517,(360) 340-9337,"[{'name': 'N/A Fund GP, LLC', 'role': 'Director', 'cik': '0002088517'}, {'name': 'N/A Belltower Fund Group, Ltd.', 'role': 'Director', 'cik': '0002088517'}]",Director,108000
"AL-0912 Fund I, a series of AX-RN-Funds, LP",0002088974,206.801.6359,"[{'name': 'N/A Fund GP, LLC', 'role': 'Director', 'cik': '0002088974'}, {'name': 'N/A Belltower Fund Group, Ltd.', 'role': 'Director', 'cik': '0002088974'}]",Director,145050
"VER Co-Invest Holdings, L.P.",0002089461,(617) 619-5400,"[{'name': 'General Partner Charlesbank Equity Fund X GP, Limited Partnership', 'role': 'Promoter', 'cik': '0002089461'}, {'name': 'General Partner of the General Partner Charlesbank Equity Fund X GP, LLC', 'role': 'Promoter', 'cik': '0002089461'}, {'name': 'Sole Member of the General Partner of the General Partner Charlesbank Capital Partners, LLC', 'role': 'Promoter', 'cik': '0002089461'}, {'name': 'Kevin Whelan', 'role': 'Executive Officer', 'cik': '0002089461'}]",Executive Officer,0
"PI-0828 Fund I, a series of MV Funds, LP",0002089913,2068016359,"[{'name': 'N/A Fund GP, LLC', 'role': 'Director', 'cik': '0002089913'}, {'name': 'N/A Belltower Fund Group, Ltd.', 'role': 'Director', 'cik': '0002089913'}]",Director,418000
"Simpli-FI Legacy Fund, LP",0002089968,9403730151,"[{'name': 'Colby Ivey', 'role': 'Executive Officer', 'cik': '0002089968'}, {'name': 'Hunter Lott', 'role': 'Executive Officer', 'cik': '0002089968'}]",Executive Officer,0
Merely Mortals Ltd Liability Co,0002090021,212-739-7875,"[{'name': 'Kelly Bartnik', 'role': 'Executive Officer', 'cik': '0002090021'}, {'name': 'Ashley Chipman', 'role': 'Executive Officer', 'cik': '0002090021'}]",Executive Officer,350000
ATHOS OPPORTUNITY FUND ANT LLC,0002090544,435-252-1099,"[{'name': 'ROBERT SHATTUCK', 'role': 'Executive Officer', 'cik': '0002090544'}, {'name': '- ATHOS FUND MANAGEMENT, LLC', 'role': 'Executive Officer', 'cik': '0002090544'}]",Executive Officer,975000
Thirdbase Opportunity LP - Series AP II,0002090684,7169810061,"[{'name': 'n/a Thirdbase Capital GP, LLC', 'role': 'Promoter', 'cik': '0002090684'}, {'name': 'Abhinav Gupta', 'role': 'Executive Officer', 'cik': '0002090684'}]",Executive Officer,550000
Thirdbase Opportunity LP - Series OA,0002090720,7169810061,"[{'name': 'n/a Thirdbase Capital GP, LLC', 'role': 'Promoter', 'cik': '0002090720'}, {'name': 'Abhinav Gupta', 'role': 'Executive Officer', 'cik': '0002090720'}]",Executive Officer,24466360
Thirdbase Opportunity LP - Series PP,0002090726,7169810061,"[{'name': 'n/a Thirdbase Capital GP, LLC', 'role': 'Promoter', 'cik': '0002090726'}, {'name': 'Abhinav Gupta', 'role': 'Executive Officer', 'cik': '0002090726'}]",Executive Officer,1500000
another Mar 2025 a Series of CGF2021 LLC,0002091198,(360) 946-0604,"[{'name': 'LLC Sydecar', 'role': 'Director', 'cik': '0002091198'}, {'name': 'Brett Sagan', 'role': 'Executive Officer', 'cik': '0002091198'}]",Executive Officer,84500
"CAIS Davidson Kempner Real Estate Opportunities Fund, L.P.",0002091462,9176986111,"[{'name': 'N/A Capital Integration Systems LLC', 'role': 'Promoter', 'cik': '0002091462'}, {'name': 'Matthew Brown', 'role': 'Executive Officer', 'cik': '0002091462'}, {'name': 'N/A CAIS Davidson Kempner Real Estate Opportunities Fund GP LLC', 'role': 'Promoter', 'cik': '0002091462'}]",Promoter,7950000
Fairmount Healthcare Co-Invest V L.P.,0002091559,(267) 262-5300,"[{'name': '- Fairmount Healthcare Co-Invest V GP LLC', 'role': 'Executive Officer', 'cik': '0002091559'}, {'name': 'Peter Harwin', 'role': 'Executive Officer', 'cik': '0002091559'}, {'name': 'Tomas Kiselak', 'role': 'Executive Officer', 'cik': '0002091559'}, {'name': '- Fairmount Funds Management LLC', 'role': 'Executive Officer', 'cik': '0002091559'}]",Executive Officer,0
"TA-1005 Fund I, a series of HyperGuap, LP",0002091567,2068016359,"[{'name': 'N/A Fund GP, LLC', 'role': 'Director', 'cik': '0002091567'}, {'name': 'N/A Belltower Fund Group, Ltd.', 'role': 'Director', 'cik': '0002091567'}]",Director,276818
"Clarion Alternative Sectors Fund, LP",0002091789,212-883-2500,"[{'name': 'David Gilbert', 'role': 'Executive Officer', 'cik': '0002091789'}, {'name': 'Heather Hopkins', 'role': 'Executive Officer', 'cik': '0002091789'}, {'name': 'Hugh Macdonnell', 'role': 'Executive Officer', 'cik': '0002091789'}, {'name': 'Joshua Pristaw', 'role': 'Executive Officer', 'cik': '0002091789'}, {'name': 'Jeb Belford', 'role': 'Executive Officer', 'cik': '0002091789'}, {'name': 'Susan Boccardi', 'role': 'Director', 'cik': '0002091789'}, {'name': 'Dayton Conklin', 'role': 'Director', 'cik': '0002091789'}, {'name': 'Sue Ansel', 'role': 'Director', 'cik': '0002091789'}, {'name': 'Indraneel Karlekar', 'role': 'Director', 'cik': '0002091789'}, {'name': 'Kimberly Adams', 'role': 'Director', 'cik': '0002091789'}, {'name': 'N/A Clarion Alternative Sectors Fund GP, LLC', 'role': 'Director', 'cik': '0002091789'}, {'name': 'Jon Gelb', 'role': 'Director', 'cik': '0002091789'}]",Director,0
"KA-0930 Fund I, a series of Zachary Ginsburg Funds, LP",0002091803,2068016359,"[{'name': 'N/A Fund GP, LLC', 'role': 'Director', 'cik': '0002091803'}, {'name': 'N/A Belltower Fund Group, Ltd.', 'role': 'Director', 'cik': '0002091803'}]",Director,535247
"Clarion Alternative Sectors Parallel Fund, LP",0002091856,212-883-2500,"[{'name': 'David Gilbert', 'role': 'Executive Officer', 'cik': '0002091856'}, {'name': 'Heather Hopkins', 'role': 'Executive Officer', 'cik': '0002091856'}, {'name': 'Hugh Macdonnell', 'role': 'Executive Officer', 'cik': '0002091856'}, {'name': 'Joshua Pristaw', 'role': 'Executive Officer', 'cik': '0002091856'}, {'name': 'Jeb Belford', 'role': 'Executive Officer', 'cik': '0002091856'}, {'name': 'Susan Boccardi', 'role': 'Director', 'cik': '0002091856'}, {'name': 'Dayton Conklin', 'role': 'Director', 'cik': '0002091856'}, {'name': 'Sue Ansel', 'role': 'Director', 'cik': '0002091856'}, {'name': 'Indraneel Karlekar', 'role': 'Director', 'cik': '0002091856'}, {'name': 'Kimberly Adams', 'role': 'Director', 'cik': '0002091856'}, {'name': '- Clarion Alternative Sectors Fund GP, LLC', 'role': 'Director', 'cik': '0002091856'}, {'name': 'Jon Gelb', 'role': 'Director', 'cik': '0002091856'}]",Director,0
BWE Monroe LLC,0002091859,214-502-3578,"[{'name': 'Hans Box', 'role': 'Executive Officer', 'cik': '0002091859'}, {'name': 'William Wilson', 'role': 'Executive Officer', 'cik': '0002091859'}]",Executive Officer,3010000
2225 TAYLOR HC LLC,0002091946,425-615-5518,"[{'name': 'Nagesh Pabbisetty', 'role': 'Executive Officer', 'cik': '0002091946'}, {'name': 'Pavan Narkulla', 'role': 'Executive Officer', 'cik': '0002091946'}]",Executive Officer,250000
"Panco Strategic Real Estate Fund VI-LB, LP",0002092273,(212) 310-6403,"[{'name': 'N/A Panco Fund VI GP, LLC', 'role': 'Executive Officer', 'cik': '0002092273'}, {'name': 'Jordan Pantzer', 'role': 'Director', 'cik': '0002092273'}, {'name': 'Jason Pantzer', 'role': 'Director', 'cik': '0002092273'}]",Director,91000000
Morning Line Racing LLC Series AVRYPLC,0002092308,3129653187,"[{'name': 'Joel Funk', 'role': 'Executive Officer', 'cik': '0002092308'}]",Executive Officer,1839
Eagle Point Mixed Use LLC,0002092317,4045102118,"[{'name': 'Tim Wyatt', 'role': 'Executive Officer', 'cik': '0002092317'}, {'name': 'Xia Zhu', 'role': 'Executive Officer', 'cik': '0002092317'}, {'name': 'Lan Cairns', 'role': 'Executive Officer', 'cik': '0002092317'}, {'name': 'Emma Li', 'role': 'Executive Officer', 'cik': '0002092317'}]",Executive Officer,310000
Select Align Ventures Figure 2025 a Series of CGF2021 LLC,0002092413,(360) 946-0604,"[{'name': 'LLC Sydecar', 'role': 'Director', 'cik': '0002092413'}, {'name': 'Brett Sagan', 'role': 'Executive Officer', 'cik': '0002092413'}]",Executive Officer,460000
Morning Line Racing LLC Series WLDMMNT,0002092474,3129653187,"[{'name': 'Joel Funk', 'role': 'Executive Officer', 'cik': '0002092474'}]",Executive Officer,3575
"TakeFusion Technologies, Inc.",0002092590,9134886766,"[{'name': 'Brandon Paddock', 'role': 'Executive Officer', 'cik': '0002092590'}]",Executive Officer,250000
"PO-1003 Fund I, a series of Roll Up Vehicles, LP",0002092864,206.801.6359,"[{'name': 'N/A Fund GP, LLC', 'role': 'Director', 'cik': '0002092864'}, {'name': 'N/A Belltower Fund Group, Ltd.', 'role': 'Director', 'cik': '0002092864'}]",Director,260000
"Azure Blue Holdings, LLC",0002093090,3054397550,"[{'name': 'Zarinah Davis', 'role': 'Director', 'cik': '0002093090'}]",Director,1150000
1250 JV LP,0002093127,305 416 4556,"[{'name': 'David Martin', 'role': 'Executive Officer', 'cik': '0002093127'}]",Executive Officer,45000000
"Belief-SU-1003 Fund III, a series of AngelList Funds 2025, LP",0002093149,(360) 340-9337,"[{'name': 'N/A Fund GP, LLC', 'role': 'Director', 'cik': '0002093149'}, {'name': 'N/A Belltower Fund Group, Ltd.', 'role': 'Director', 'cik': '0002093149'}]",Director,236000
AREG US Opp IV SH REIT Holdco LLC,0002093192,310-201-4100,"[{'name': 'n/a Ares Real Estate Management Holdings, LLC', 'role': 'Director', 'cik': '0002093192'}]",Director,0
"GCP P3 InvestCo, LLC",0002093204,(469) 930-4500,"[{'name': 'Michael Sutton', 'role': 'Executive Officer', 'cik': '0002093204'}, {'name': 'N/A Guideboat P3 HoldCo, LLC', 'role': 'Director', 'cik': '0002093204'}]",Director,8000000
BlueRock Capital Partners,0002093409,9044656674,"[{'name': 'VLADIMIR ROZENBLIT', 'role': 'Executive Officer', 'cik': '0002093409'}]",Executive Officer,100000000
Metro Capital Fund LLC,0002093420,7879190454,"[{'name': 'Alexandro Ravelo Canosa', 'role': 'Director', 'cik': '0002093420'}]",Director,28785222
Dawson (Co-Invest) 7 LP,0002093433,(647) 925-1284,"[{'name': 'N/A Dawson Partners 7 GP Inc.', 'role': 'Promoter', 'cik': '0002093433'}, {'name': 'Yann Robard', 'role': 'Executive Officer', 'cik': '0002093433'}, {'name': 'N/A Dawson Partners Inc.', 'role': 'Promoter', 'cik': '0002093433'}]",Promoter,0
Dawson Portfolio Finance (Offshore) 7 LP,0002093434,(647) 925-1284,"[{'name': 'N/A Dawson Partners 7 GP Inc.', 'role': 'Promoter', 'cik': '0002093434'}, {'name': 'Yann Robard', 'role': 'Executive Officer', 'cik': '0002093434'}, {'name': 'N/A Dawson Partners Inc.', 'role': 'Promoter', 'cik': '0002093434'}]",Promoter,0
